,intent,input,source,destination,output
44,atis_flight, list all flights from indianapolis to seattle,indianapolis,seattle,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
45,atis_flight, display all flights from baltimore to boston on july twenty ninth,baltimore,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
46,atis_flight, i now need a flight from sanjose to houston leaving on sunday the fourth,sanjose,houston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
47,atis_flight, show me flights from boston to sanfrancisco,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
48,atis_flight, list the delta airlines flights from boston to philadelphia,boston,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
49,atis_airfare, show me the fares from dallas to sanfrancisco,dallas,sanfrancisco,
50,atis_flight, on the earliest flight from sanfrancisco to atlanta on delta is a meal being served,sanfrancisco,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
51,atis_flight, find me the earliest flight from boston to atlanta,boston,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
52,atis_flight, list nonstop flights from houston to dallas which arrive before midnight,houston,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
53,atis_flight, show me the flights from boston to sanfrancisco that stop in atlanta,boston,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
54,atis_flight, show me flights to sanfrancisco from philadelphia stopping in dallas,philadelphia,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
55,atis_flight, show me flights from baltimore to dallas,baltimore,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
56,atis_flight, i'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what's available,columbus,cincinnati,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
57,atis_flight, also show me flights from sanfrancisco to pittsburgh on tuesday,sanfrancisco,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
58,atis_flight, show flights from dallas to oakland,dallas,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
59,atis_flight, show me all flights from sanfrancisco to pittsburgh,sanfrancisco,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
60,atis_flight, find me a flight on united from boston to sanfrancisco with a stopover in denver,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
61,atis_flight, what flights go from newark to boston after 5 pm,newark,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
62,atis_flight, what are all the flights from boston to dallas,boston,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
63,atis_flight, what is the earliest flight flying from pittsburgh to atlanta on july fifth,pittsburgh,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
64,atis_flight, please list available flights for next saturday from philadelphia to dallas,philadelphia,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
65,atis_airline, which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth,pittsburgh,baltimore,
66,atis_flight, all flights from boston to washington dc on november tenth,boston,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
67,atis_flight, what are the flights from denver to sanfrancisco,denver,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
68,atis_aircraft, on the 8 am flight from sanfrancisco to atlanta what type of aircraft is used,sanfrancisco,atlanta,
69,atis_flight, which flight is a one way fare at 329 dollars from denver to pittsburgh,denver,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
70,atis_flight, i would like some information on flights leaving boston to atlanta,boston,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
71,atis_flight, show me the latest nonstop flight from denver to washington dc,denver,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
72,atis_flight, what are the flights from dallas to baltimore,dallas,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
73,atis_airfare, can you show me economy class one way fares for flights from oakland to dallas on december sixteenth,oakland,dallas,
74,atis_flight, show me flights from philadelphia to oakland on friday,philadelphia,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
75,atis_flight, i would like to know the flights available from boston to denver arriving in denver by 8 o'clock wednesday morning,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
76,atis_flight, list the flight from philadelphia to sanfrancisco on american airlines,philadelphia,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
77,atis_flight, what is the first flight from atlanta to boston on thursday september fifth that leaves after 8 am,atlanta,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
78,atis_airfare, what is the first class fare on united flight 352 from denver to boston,denver,boston,
79,atis_flight, flight from philadelphia to dallas arriving before 4 pm on saturday,philadelphia,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
80,atis_flight, list flights tomorrow from sandiego to phoenix,sandiego,phoenix,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
81,atis_flight, show me all flights from sanfrancisco to washington dc area,sanfrancisco,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
82,atis_flight, show me all the united airlines flights leaving dallas,dallas,nodest,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
83,atis_flight, list all flights from baltimore to philadelphia,baltimore,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
84,atis_flight, round trip flights from minneapolis to sandiego coach economy fare,minneapolis,sandiego,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
85,atis_flight, flights from denver to baltimore between 10 am and 2 pm,denver,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
86,atis_flight, show me the flights from denver to atlanta,denver,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
87,atis_flight, what flights are there on delta from boston to dallas,boston,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
88,atis_flight, leaving washington going to sanfrancisco the latest flight,washington,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
89,atis_flight, how do i get from pittsburgh airport to downtown pittsburgh,pittsburgh,downtown,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
90,atis_flight, what is the earliest flight going from sanfrancisco to dallas on monday august nineteenth,sanfrancisco,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
91,atis_flight, i would like information on any flights from pittsburgh to sanfrancisco leaving thursday evening,pittsburgh,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
92,atis_flight, i need a cheap flight from baltimore to sanfrancisco,baltimore,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
93,atis_airfare, what is the cost of a first class ticket from baltimore to dallas,baltimore,dallas,
94,atis_airfare, what is the economy thrift fare from boston to washington,boston,washington,
95,atis_flight, list the nonstop flights early tuesday morning from dallas to atlanta,dallas,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
96,atis_flight, are there any flights from dallas fort worth to boston leaving before 10 am,dallas,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
97,atis_flight, i need a return flight from philadelphia to boston,philadelphia,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
98,atis_flight, shortest evening flight from tampa to cincinnati,tampa,cincinnati,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
99,atis_flight, flights from boston to pittsburgh,boston,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
100,atis_flight, all flights from pittsburgh to dallas round trip after 12 pm less than 100,pittsburgh,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
101,atis_flight, show me flights on sunday going from sanfrancisco to boston nonstop first class leaving after 12 noon,sanfrancisco,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
102,atis_flight, show me flights from pittsburgh to atlanta on monday afternoon,pittsburgh,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
103,atis_flight, show all flights from boston to denver on july thirty first,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
104,atis_flight, list daily flights from boston to atlanta,boston,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
105,atis_flight, on a flight from sanfrancisco to atlanta that leaves before 8 am is there such a flight,sanfrancisco,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
106,atis_flight_time, on united airlines give me the flight times from boston to dallas,boston,dallas,
107,atis_airline, can you list all the airlines that have flights from boston to sanfrancisco,boston,sanfrancisco,
108,atis_flight, flights from nashville to orlando daily,nashville,orlando,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
109,atis_flight, show me first class flights from pittsburgh to sanfrancisco on friday,pittsburgh,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
110,atis_flight, i need the earliest flight from denver to boston that serves dinner,denver,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
111,atis_flight, please list the friday afternoon flights from sanjose to dallas on american airlines,sanjose,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
112,atis_flight, show first flight from pittsburgh to atlanta on wednesday,pittsburgh,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
113,atis_flight, what flights are there from pittsburgh to losangeles,pittsburgh,losangeles,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
114,atis_flight, what is the least expensive flight available from dallas fort worth to sanfrancisco,dallas,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
115,atis_flight, what flights from houston to milwaukee on friday on american airlines,houston,milwaukee,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
116,atis_flight, show me a list of flights from sanfrancisco to boston for august thirtieth,sanfrancisco,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
117,atis_flight, show me the least expensive flight from miami to cleveland on sunday after noon,miami,cleveland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
118,atis_flight, what flights are there from newark to tampa,newark,tampa,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
119,atis_flight, i want a flight from philadelphia to dallas that at least has one stop,philadelphia,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
120,atis_flight, show flights from denver to oakland arriving between 12 and 1 o'clock,denver,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
121,atis_airfare, what is the fare from sanfrancisco to dallas fort worth on delta flight 852,sanfrancisco,dallas,
122,atis_flight, flights from newark new jersey to cleveland ohio,newark,cleveland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
123,atis_flight, give me flights from denver to baltimore,denver,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
124,atis_flight, show the flights from denver to sanfrancisco,denver,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
125,atis_flight, what flight do you have from pittsburgh to sanfrancisco on the morning of august twenty seventh,pittsburgh,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
126,atis_flight, what are the flights from boston to atlanta,boston,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
127,atis_flight, what flights from baltimore to sanfrancisco arrive before 8 pm in sanfrancisco,baltimore,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
128,atis_flight, show me the flights from pittsburgh to sanfrancisco for thursday night or friday,pittsburgh,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
129,atis_flight, what flights are there from atlanta to baltimore,atlanta,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
130,atis_airfare, list the fares of us air flights from boston to philadelphia,boston,philadelphia,
131,atis_flight, list flights from phoenix to detroit on thursday june twenty fourth,phoenix,detroit,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
132,atis_flight, what flights from miami to indianapolis on sunday,miami,indianapolis,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
133,atis_flight, now show me the flights from memphis to cleveland,memphis,cleveland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
134,atis_flight, can you give me information on all the flights from sanfrancisco no from pittsburgh to sanfrancisco on monday,sanfrancisco,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
135,atis_flight, could you find me a flight from boston to sanfrancisco that stops in denver,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
136,atis_flight, flights from cleveland to miami,cleveland,miami,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
137,atis_flight, give me the flights from pittsburgh to losangeles thursday evening,pittsburgh,losangeles,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
138,atis_flight, please list all of the flights leaving atlanta heading to baltimore after 8 pm wednesday and before 9 am thursday,atlanta,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
139,atis_flight, show me flights from seattle to sanfrancisco that leave after 5 pm,seattle,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
140,atis_flight, show me the flights that go from tacoma to miami,tacoma,miami,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
141,atis_airline, which airline can fly me from atlanta to denver to sanfrancisco,atlanta,denver,
142,atis_flight, are there any flights from denver to pittsburgh with stops in atlanta,denver,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
143,atis_flight, what flights from salt lake city to newyork city arrive next saturday before 6 pm,salt,newyork,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
144,atis_flight, flights from nashville to seattle,nashville,seattle,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
145,atis_airfare, show me fares from seattle to minneapolis,seattle,minneapolis,
146,atis_flight, i need a flight from boston to sanfrancisco via dallas fort worth,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
147,atis_flight, i'd like an afternoon flight from atlanta to sanfrancisco with a stopover in denver arriving i'd say about mealtime,atlanta,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
148,atis_flight, show me the most expensive one way flight from detroit to westchester county,detroit,westchester,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
149,atis_flight, show me the flights from baltimore to philadelphia,baltimore,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
150,atis_flight, from denver to washington dc on monday november eleventh 1991,denver,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
151,atis_flight, please list all the flights from boston to denver which serve meals,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
152,atis_flight, give me flights from pittsburgh to baltimore,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
153,atis_airfare, how much is a round trip fare from indianapolis to seattle,indianapolis,seattle,
154,atis_flight, list the flights arriving in atlanta from baltimore before noon on august fourth,baltimore,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
155,atis_flight, give me the flights for american airline from philadelphia to dallas,philadelphia,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
156,atis_flight, flights from boston to pittsburgh,boston,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
157,atis_airfare, show me the fares from dallas to sanfrancisco,dallas,sanfrancisco,
158,atis_flight, give me american airlines flights from milwaukee to phoenix on saturday and on sunday,milwaukee,phoenix,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
159,atis_flight, list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia,baltimore,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
160,atis_flight, show me the flights from baltimore to oakland,baltimore,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
161,atis_flight, show me flights from milwaukee to orlando on wednesday night,milwaukee,orlando,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
162,atis_flight, i'd like a flight from washington that stops in denver and goes on to sanfrancisco,washington,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
163,atis_flight, show me all flights from pittsburgh to baltimore tomorrow,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
164,atis_flight, what flights go to sanfrancisco from boston,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
165,atis_flight, what flights are there from sanfrancisco to philadelphia daily with economy class,sanfrancisco,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
166,atis_flight, first flights from pittsburgh to atlanta on a thursday,pittsburgh,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
167,atis_flight, show me the flights from baltimore to atlanta,baltimore,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
168,atis_flight, show me the flights from indianapolis to orlando with round trip fares less than 1288,indianapolis,orlando,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
169,atis_flight, what is the first flight from atlanta to baltimore that serves lunch,atlanta,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
170,atis_flight, show me the flights from pittsburgh to baltimore,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
171,atis_flight, all flights from denver to philadelphia,denver,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
172,atis_flight, show me flights on monday from philadelphia to boston after 7 am,philadelphia,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
173,atis_flight, show me all the flights leaving baltimore,baltimore,nodest,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
174,atis_flight, show me the flights from philadelphia to boston,philadelphia,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
175,atis_aircraft, is there a plane from boston to washington,boston,washington,
176,atis_flight_time, what are the schedule of flights from boston to sanfrancisco for august first,boston,sanfrancisco,
177,atis_flight, show me one way flights from milwaukee to orlando wednesday,milwaukee,orlando,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
178,atis_flight, show me all flights from pittsburgh to baltimore tomorrow which serve a meal,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
179,atis_flight, give me flights on american airlines from milwaukee to phoenix,milwaukee,phoenix,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
180,atis_flight, show all flights from pittsburgh to sanfrancisco,pittsburgh,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
181,atis_flight, please list the flights from dallas fort worth to dc baltimore on july twenty third,dallas,dc,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
182,atis_flight, which flights from memphis to tacoma also stop in losangeles,memphis,losangeles,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
183,atis_flight, show me the flights on tuesday morning from charlotte to baltimore,charlotte,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
184,atis_airfare, i need 2 first class tickets from dallas fort worth to sanfrancisco,dallas,sanfrancisco,
185,atis_flight, are there any flights from philadelphia to dallas which stop in atlanta,philadelphia,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
186,atis_flight, list all nonstop flights from losangeles to pittsburgh before 5 pm on tuesday,losangeles,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
187,atis_flight, give me the continental flights from chicago to seattle on friday,chicago,seattle,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
188,atis_flight, find a flight on american airlines from boston to sanfrancisco that makes a stopover in denver,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
189,atis_airfare, show me the fares on all flights round trip from pittsburgh to oakland,pittsburgh,oakland,
190,atis_flight, show me flights from denver to washington dc on wednesdays,denver,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
191,atis_flight, show me all flights from atlanta to washington with prices,atlanta,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
192,atis_flight, list all american airlines flights from phoenix to milwaukee which arrive on wednesday after 4 pm,phoenix,milwaukee,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
193,atis_airfare, what round trip tickets are there from cleveland to miami on us air that arrive before 4 pm,cleveland,miami,
194,atis_flight, show me all flights from indianapolis,indianapolis,nodest,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
195,atis_flight, which are the flights from denver to baltimore or washington dc,denver,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
196,atis_flight, are there delta flights leaving atlanta,atlanta,nodest,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
197,atis_flight, can you list all round trip flights from orlando to kansas city and then to minneapolis,orlando,kansas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
198,atis_flight, i would like a flight from washington to boston leaving at 230 on august twentieth,washington,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
199,atis_airfare, how much is a flight from washington to boston,washington,boston,
